Date,Year,Quarter,Cost
2013-01-01,2013,1,102
2013-04-01,2013,2,100
2013-07-01,2013,3,100
2013-10-01,2013,4,100
2014-01-01,2014,1,98
2014-04-01,2014,2,98.7
2014-07-01,2014,3,97.1
2014-10-01,2014,4,96.16
2015-01-01,2015,1,92.67
2015-04-01,2015,2,91.61
2015-07-01,2015,3,90.41
2015-10-01,2015,4,90.59
2016-01-01,2016,1,89.93
2016-04-01,2016,2,88.46
2016-07-01,2016,3,87.63
2016-10-01,2016,4,86.08
2017-01-01,2017,1,85.47
2017-04-01,2017,2,85.53
2017-07-01,2017,3,85.92
2017-10-01,2017,4,85.97
2018-01-01,2018,1,86.92
2018-04-01,2018,2,87.52
2018-07-01,2018,3,88.29
2018-10-01,2018,4,87.71
2019-01-01,2019,1,88.68
2019-04-01,2019,2,90.21
2019-07-01,2019,3,91.34
2019-10-01,2019,4,95.49
2020-01-01,2020,1,96.86
2020-04-01,2020,2,97.54
2020-07-01,2020,3,99.56
2020-10-01,2020,4,96.66
2021-01-01,2021,1,101.17
2021-04-01,2021,2,98.78
2021-07-01,2021,3,101.42
2021-10-01,2021,4,101.61
2022-01-01,2022,1,107.23
2022-04-01,2022,2,113.16
2022-07-01,2022,3,115.32
2022-10-01,2022,4,120.42
2023-01-01,2023,1,112.85
