Date,Year,Quarter,Applications Received,Of which: Pending,Decisions,Of which: Accepted,Of which: Rejected,Average Days to Decision,Acceptance Rate
2017-07-01,2017,3,363,0,363,148,215,61,0.41
2017-10-01,2017,4,742,0,742,402,340,21,0.54
2018-01-01,2018,1,708,0,708,351,357,20,0.5
2018-04-01,2018,2,729,0,729,351,378,34,0.48
2018-07-01,2018,3,839,0,839,421,418,19,0.5
2018-10-01,2018,4,916,0,916,524,392,21,0.57
2019-01-01,2019,1,859,0,859,679,180,27,0.79
2019-04-01,2019,2,978,0,978,787,191,35,0.8
2019-07-01,2019,3,831,0,831,662,169,40,0.8
2019-10-01,2019,4,926,0,926,727,199,18,0.79
2020-01-01,2020,1,863,0,863,709,154,30,0.82
2020-04-01,2020,2,5749,1,5748,4572,1176,47,0.8
2020-07-01,2020,3,3029,0,3029,2498,531,23,0.82
2020-10-01,2020,4,1753,0,1753,1408,345,33,0.8
2021-01-01,2021,1,1631,0,1631,1090,541,38,0.67
2021-04-01,2021,2,1176,0,1176,776,400,34,0.66
2021-07-01,2021,3,894,0,894,641,253,39,0.72
2021-10-01,2021,4,802,0,802,533,269,38,0.66
2022-01-01,2022,1,744,1,743,461,282,37,0.62
2022-04-01,2022,2,774,2,772,436,336,45,0.56
2022-07-01,2022,3,817,25,792,466,326,43,0.59
2022-10-01,2022,4,871,565,306,207,99,39,0.68
