Date,Year,Quarter,Male,Female,Recorded as Unknown
2017-07-01,2017,3,116,247,0
2017-10-01,2017,4,207,535,0
2018-01-01,2018,1,192,516,0
2018-04-01,2018,2,184,545,0
2018-07-01,2018,3,270,569,0
2018-10-01,2018,4,281,635,0
2019-01-01,2019,1,256,602,1
2019-04-01,2019,2,293,685,0
2019-07-01,2019,3,233,597,1
2019-10-01,2019,4,265,659,2
2020-01-01,2020,1,274,588,1
2020-04-01,2020,2,2546,3213,11
2020-07-01,2020,3,1216,1817,3
2020-10-01,2020,4,700,1066,0
2021-01-01,2021,1,639,997,2
2021-04-01,2021,2,417,757,0
