Date,Year,Quarter,Male,Female,Recorded as Unknown
2017-07-01,2017,3,116,247,0
2017-10-01,2017,4,207,535,0
2018-01-01,2018,1,192,516,0
2018-04-01,2018,2,184,545,0
2018-07-01,2018,3,270,569,0
2018-10-01,2018,4,281,635,0
2019-01-01,2019,1,256,602,1
2019-04-01,2019,2,293,685,0
2019-07-01,2019,3,234,597,0
2019-10-01,2019,4,267,659,0
2020-01-01,2020,1,274,589,0
2020-04-01,2020,2,2535,3205,9
2020-07-01,2020,3,1215,1814,0
2020-10-01,2020,4,695,1058,0
2021-01-01,2021,1,639,991,1
2021-04-01,2021,2,419,757,0
2021-07-01,2021,3,324,568,2
2021-10-01,2021,4,273,529,0
2022-01-01,2022,1,271,473,0
2022-04-01,2022,2,281,492,1
2022-07-01,2022,3,290,527,0
2022-10-01,2022,4,312,559,0
